iter	Passed	Remaining
571	38081	8521
572	38178	8461
573	38257	8398
574	38315	8329
575	38372	8260
576	38434	8193
577	38496	8125
578	38566	8059
579	38629	7992
580	38701	7926
581	38761	7858
582	38821	7790
583	38885	7723
584	38953	7657
585	39013	7589
586	39076	7522
587	39133	7454
588	39190	7385
589	39256	7318
590	39321	7252
591	39381	7184
592	39442	7116
593	39498	7048
594	39564	6981
595	39626	6914
596	39695	6848
597	39763	6782
598	39825	6715
599	39891	6648
600	39953	6581
601	40017	6514
602	40073	6446
603	40133	6378
604	40206	6313
605	40269	6246
606	40329	6178
607	40397	6112
608	40456	6045
609	40518	5978
610	40580	5911
611	40646	5844
612	40705	5777
613	40769	5710
614	40826	5642
615	40888	5575
616	40957	5509
617	41026	5443
618	41086	5376
619	41151	5309
620	41210	5242
621	41269	5175
622	41332	5108
623	41399	5042
624	41464	4975
625	41527	4908
626	41587	4841
627	41654	4775
628	41720	4709
629	41784	4642
630	41850	4576
631	41915	4509
632	41990	4444
633	42070	4379
634	42135	4313
635	42190	4245
636	42250	4178
637	42315	4112
638	42377	4045
639	42442	3979
640	42503	3912
641	42568	3845
642	42642	3780
643	42700	3713
644	42763	3646
645	42827	3580
646	42896	3513
647	42960	3447
648	43031	3381
649	43095	3315
650	43164	3248
651	43240	3183
652	43306	3116
653	43371	3050
654	43431	2983
655	43502	2917
656	43575	2851
657	43645	2785
658	43763	2722
659	43865	2658
660	43985	2595
661	44065	2529
662	44158	2464
663	44239	2398
664	44314	2332
665	44381	2265
666	44444	2198
667	44514	2132
668	44582	2065
669	44646	1999
670	44720	1932
671	44785	1866
672	44855	1799
673	44930	1733
674	44990	1666
675	45064	1599
676	45136	1533
677	45211	1467
678	45276	1400
679	45344	1333
680	45411	1266
681	45484	1200
682	45562	1134
683	45633	1067
684	45706	1000
685	45776	934
686	45846	867
687	45929	801
688	46001	734
689	46067	667
690	46139	600
691	46221	534
692	46299	467
693	46362	400
694	46431	334
695	46515	267
696	46584	200
697	46649	133
698	46719	66
699	46786	0
