iter	TotalF1	MultiClass
159	0.6161064598	0.8147697657
160	0.6152086723	0.8143084395
161	0.6163866584	0.8138802767
162	0.6165250816	0.8134245671
163	0.6172743859	0.8132536912
164	0.6175383224	0.8129950269
165	0.6182667642	0.8123210264
166	0.617564629	0.8116331451
167	0.6176587826	0.8115679052
168	0.6182969845	0.8110311339
169	0.6195953664	0.8100045393
170	0.6193253036	0.809825357
171	0.6193992362	0.8097715339
172	0.6186821725	0.8090515811
173	0.6196497918	0.8082844689
174	0.6196411622	0.808162917
175	0.619668716	0.8081173421
176	0.6193532973	0.8075866814
177	0.6201918438	0.8073201753
178	0.6205625687	0.8065841471
179	0.6204804281	0.8062351285
180	0.6207011146	0.8058247218
181	0.6219505809	0.8054214779
182	0.6214761648	0.8052247354
183	0.6218268611	0.8047949825
184	0.6219256029	0.8045712557
185	0.6220073314	0.803963434
186	0.622690004	0.8035518676
187	0.6230321755	0.8030867751
188	0.6231007391	0.8024782707
189	0.6242765105	0.8019180518
190	0.6245385772	0.80168468
191	0.62506194	0.8012844155
192	0.6257006648	0.8008504719
193	0.6255139592	0.8003956902
194	0.6266818701	0.7999755219
195	0.6263451536	0.7996782068
196	0.6267665535	0.7992985849
197	0.6282308293	0.798665356
198	0.6290114484	0.7982476738
199	0.62871836	0.7979343319
200	0.6286982786	0.7978207547
201	0.6296472408	0.7972791747
202	0.6290509834	0.7970575314
203	0.6294093302	0.7964463422
204	0.6286953532	0.7959166419
205	0.629842273	0.7953763457
206	0.6301040828	0.7949789916
207	0.6302910132	0.7945277474
208	0.6306497514	0.7941991441
209	0.6308346008	0.7935884657
210	0.6317787215	0.7930018301
211	0.6320896018	0.7925412128
212	0.6320830248	0.7917803789
213	0.6331898222	0.7914969367
214	0.6325903709	0.7912958908
215	0.6333427834	0.7906982084
216	0.6339141833	0.7903681911
217	0.6335532461	0.7898675254
218	0.6341410704	0.7893052286
219	0.6342189781	0.7886979346
220	0.6341985184	0.7882125159
221	0.6353348084	0.7876546738
222	0.635375409	0.7870506578
223	0.635316887	0.7866793125
224	0.6357327357	0.7864984149
225	0.6354357723	0.7860148137
226	0.6359541282	0.7857281722
227	0.6364511487	0.7852529344
228	0.6364908688	0.7847783671
229	0.6364654677	0.7846393211
230	0.6376162825	0.7842625055
231	0.6381852985	0.7839211354
232	0.6384970345	0.7835045883
233	0.6393204408	0.7830838505
234	0.6398531194	0.7827249898
235	0.6403137944	0.7821998058
236	0.6408196541	0.7816786964
237	0.640965952	0.7811709784
238	0.641455307	0.7806876997
239	0.6418122988	0.7801885689
240	0.6419512653	0.7796810779
241	0.6421771892	0.7792575802
242	0.642316831	0.778941189
243	0.6422250831	0.7785309575
244	0.6424766452	0.7780036909
245	0.642718542	0.777777284
246	0.6425076057	0.7771784876
247	0.643021072	0.7768311406
248	0.6446162927	0.7760350562
249	0.645365701	0.7753503313
250	0.6450499911	0.7746261895
251	0.6468855476	0.7740863052
252	0.6456991287	0.7732900642
253	0.6452120834	0.7726826666
254	0.6459339749	0.7724031621
255	0.6470062303	0.7720255962
256	0.647641423	0.771698009
257	0.6488716454	0.77130891
258	0.6505257732	0.770704326
259	0.6505359499	0.7701147697
260	0.6514059683	0.7696655622
261	0.6515537656	0.7692429888
262	0.6519423305	0.768686654
263	0.6520983689	0.7681596511
264	0.6521476663	0.7677336261
265	0.652481609	0.7669820848
266	0.6524819809	0.766626136
267	0.6525421091	0.7662414123
268	0.6529962713	0.7658596236
269	0.653722402	0.7655271002
270	0.6532617663	0.7649606946
271	0.6527809321	0.7643869051
272	0.6543892089	0.7637702741
273	0.6545740008	0.7634782606
274	0.6548750031	0.762951125
275	0.6550977045	0.7623326451
276	0.6570019769	0.7617691106
277	0.6567239299	0.7615117378
278	0.658081704	0.7611043611
279	0.6587436532	0.7606861558
280	0.6588329917	0.7599061403
281	0.6592302251	0.7592575213
282	0.6595417254	0.7587939452
283	0.6601221574	0.7584726511
284	0.6604301981	0.7579102135
285	0.6610820023	0.7571837173
286	0.6613315379	0.7567243274
287	0.6614707295	0.7561780203
288	0.6610711486	0.755788845
289	0.6619246654	0.7551830728
290	0.6626196263	0.754716133
291	0.6627111748	0.7543559932
292	0.6631178966	0.7538414632
293	0.663848968	0.7533148552
294	0.6640984499	0.7528858731
295	0.6647067514	0.7521046062
296	0.6647013162	0.7516498834
297	0.664961841	0.7513865413
298	0.6652048698	0.751049077
299	0.6652897101	0.7503930738
300	0.6657146231	0.750058152
301	0.6652986441	0.7495822498
302	0.6663018706	0.7490342824
303	0.6671324805	0.7486592104
304	0.6673850952	0.7484167881
305	0.6676015135	0.7479520457
306	0.6683235087	0.7474035555
307	0.6686413566	0.7469520399
308	0.6683681507	0.746491425
309	0.6700815133	0.7462288281
310	0.6701502555	0.7457270351
311	0.6708694844	0.7450921187
312	0.6718755996	0.7446502561
313	0.6719351683	0.7441567577
314	0.6722342555	0.7438684925
315	0.6719884409	0.7433137105
316	0.6725524402	0.7427763424
317	0.6739279372	0.7420492397
318	0.6745210943	0.7416751407
319	0.6750575946	0.7410454993
320	0.6759797546	0.7405046776
321	0.6763074965	0.739727271
